"abscido –ere –cidi –cisus"	"abscīdō –ere –cīdī –cīsus"	"to cut off"	"to cut off (> abs and caedo)"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#abscido"	"2603"
"abscindo –ere –scidi –scissus"	"abscindō –ere –scidī –scissus"	"to tear off"	"to tear off, away, from; separate; tear"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#abscindo"	"4702"
"abscondo abscondere abscondi and abscondidi absconditus"	"abscondō abscondere abscondī and abscondidī absconditus"	"to put out of sight"	"to put out of sight, hide, conceal; to conceal; lose sight of, withdraw from"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#abscondo"	"2654"
"absens absentis"	"absēns absentis"	"absent"	"absent"	"1"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#absens"	"2477"
"absentia –ae f."	"absentia –ae f."	"absence"	"absence"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#absentia"	"5290"
"absentivus –a –um"	"absentīvus –a –um"	"absent"	"absent"	"1"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#absentivus"	"11140"
"absimilis –e"	"absimilis –e"	"unlike"	"unlike, usually with a neg. and dat."	"1"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#absimilis"	"11140"
"absinthium –i n."	"absinthium –ī n."	"wormwood"	"wormwood; something bitter but wholesome"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#absinthium"	"4702"
"absisto –ere –abstiti"	"absistō –ere –abstitī"	"to stand off or away from"	"to stand off or away from, followed by the abl., alone or with prep.; withdraw from; fly, dart from; (with infin.), desist, cease; (alone), stop, cease"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#absisto"	"3297"
"absolutio –onis f."	"absolūtiō –ōnis f."	"an acquittal"	"an absolving, acquittal; completion"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#absolutio"	"6575"
"absolvo –ere –solvi –solutum"	"absolvō –ere –solvī –solūtum"	"to absolve (someone of), complete"	"to absolve (someone of), complete"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#absolvo"	"2326"
"absorbeo –bere –bui –ptum"	"absorbeō –bēre –buī –ptum"	"to devour, engulf"	"to devour, engulf"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#absorbeo"	"9174"
